Time,State,Name,,,
2019/10/11 1:26,0,2_10_78_104_354,2019/10/11 1:26,0,0
2019/10/11 1:27,0,2_10_78_104_354,2019/10/11 1:27,0,0
2019/10/11 1:28,0,2_10_78_104_354,2019/10/11 1:28,0,0
2019/10/11 1:29,0,2_10_78_104_354,2019/10/11 1:29,0,0
2019/10/11 1:30,0,2_10_78_104_246,2019/10/11 1:30,0,0
2019/10/11 1:31,0,2_10_78_104_246,2019/10/11 1:31,0,0
2019/10/11 1:32,0,2_10_78_104_246,2019/10/11 1:32,0,0
2019/10/11 1:33,0,2_10_78_104_246,2019/10/11 1:33,0,0
2019/10/11 1:34,0,2_10_78_104_246,2019/10/11 1:34,0,0
2019/10/11 1:35,0,2_10_78_104_246,2019/10/11 1:35,0,0
2019/10/11 1:36,0,2_10_78_104_246,2019/10/11 1:36,0,0
2019/10/11 1:37,0,2_10_78_104_246,2019/10/11 1:37,0,0
2019/10/11 1:38,0,2_10_78_104_246,2019/10/11 1:38,0,0
2019/10/11 1:39,0,2_10_78_104_246,2019/10/11 1:39,0,0
2019/10/11 1:40,0,2_10_78_104_246,2019/10/11 1:40,0,0
2019/10/11 1:41,0,2_10_78_104_246,2019/10/11 1:41,0,0
2019/10/11 1:42,0,2_10_78_104_246,2019/10/11 1:42,0,0
2019/10/11 1:43,0,2_10_78_104_246,2019/10/11 1:43,0,0
2019/10/11 1:44,0,2_10_78_104_246,2019/10/11 1:44,0,0
2019/10/11 1:45,0,2_10_78_104_256,2019/10/11 1:45,0,0
2019/10/11 1:46,0,2_10_78_104_256,2019/10/11 1:46,0,0
2019/10/11 1:47,0,2_10_78_104_256,2019/10/11 1:47,0,0
2019/10/11 1:48,0,2_10_78_104_256,2019/10/11 1:48,0,0
2019/10/11 1:49,0,2_10_78_104_256,2019/10/11 1:49,0,0
2019/10/11 1:50,0,2_12_90_128_591,2019/10/11 1:50,0,0
2019/10/11 1:51,0,2_12_90_128_591,2019/10/11 1:51,0,0
