Time,Code,Name
2019/10/10,3,Signal
2019/10/10 0:01:00,3,Signal
2019/10/10 0:02:00,3,Signal
2019/10/10 0:03:00,3,Signal
2019/10/10 0:04:00,3,Signal
2019/10/10 0:05:00,3,Signal
2019/10/10 0:06:00,3,Signal
2019/10/10 0:07:00,3,Signal
2019/10/10 0:08:00,3,Signal
2019/10/10 0:09:00,3,Signal
2019/10/10 0:10:00,3,Signal
2019/10/10 0:11:00,3,Signal
2019/10/10 0:12:00,3,Signal
2019/10/10 0:13:00,3,Signal
2019/10/10 0:14:00,3,Signal
2019/10/10 0:15:00,3,Signal
2019/10/10 0:16:00,3,Signal
2019/10/10 0:17:00,3,Signal
2019/10/10 0:18:00,3,Signal
2019/10/10 0:19:00,3,Signal
2019/10/10 0:20:00,3,Signal
2019/10/10 0:21:00,3,Signal
2019/10/10 0:22:00,3,Signal
2019/10/10 0:23:00,3,Signal
2019/10/10 0:24:00,3,Signal
2019/10/10 0:25:00,3,Signal
2019/10/10 0:26:00,3,Signal
2019/10/10 0:27:00,3,Signal
2019/10/10 0:28:00,3,Signal
2019/10/10 0:29:00,3,Signal
2019/10/10 0:30:00,3,Signal
2019/10/10 0:31:00,3,Signal
2019/10/10 0:32:00,3,Signal
2019/10/10 0:33:00,3,Signal
2019/10/10 0:34:00,3,Signal
2019/10/10 0:35:00,3,Signal
2019/10/10 0:36:00,3,Signal
2019/10/10 0:37:00,3,Signal
2019/10/10 0:38:00,3,Signal
2019/10/10 0:39:00,3,Signal
2019/10/10 0:40:00,3,Signal
2019/10/10 0:41:00,3,Signal
2019/10/10 0:42:00,3,Signal
2019/10/10 0:43:00,3,Signal
2019/10/10 0:44:00,3,Signal
2019/10/10 0:45:00,3,Signal
2019/10/10 0:46:00,3,Signal
2019/10/10 0:47:00,3,Signal
2019/10/10 0:48:00,3,Signal
2019/10/10 0:49:00,3,Signal
2019/10/10 0:50:00,3,Signal
2019/10/10 0:51:00,3,Signal
2019/10/10 0:52:00,3,Signal
2019/10/10 0:53:00,3,Signal
2019/10/10 0:54:00,3,Signal
2019/10/10 0:55:00,3,Signal
2019/10/10 0:56:00,3,Signal
2019/10/10 0:57:00,3,Signal
2019/10/10 0:58:00,3,Signal
2019/10/10 0:59:00,3,Signal
2019/10/10 1:00:00,3,Signal
2019/10/10 1:01:00,3,Signal
2019/10/10 1:02:00,3,Signal
2019/10/10 1:03:00,3,Signal
2019/10/10 1:04:00,3,Signal
2019/10/10 1:05:00,3,Signal
2019/10/10 1:06:00,3,Signal
2019/10/10 1:07:00,3,Signal
2019/10/10 1:08:00,3,Signal
2019/10/10 1:09:00,3,Signal
2019/10/10 1:10:00,3,Signal
2019/10/10 1:11:00,3,Signal
2019/10/10 1:12:00,3,Signal
2019/10/10 1:13:00,3,Signal
2019/10/10 1:14:00,3,Signal
2019/10/10 1:15:00,3,Signal
2019/10/10 1:16:00,3,Signal
2019/10/10 1:17:00,3,Signal
2019/10/10 1:18:00,3,Signal
2019/10/10 1:19:00,3,Signal
2019/10/10 1:20:00,3,Signal
2019/10/10 1:21:00,3,Signal
2019/10/10 1:22:00,3,Signal
2019/10/10 1:23:00,3,Signal
2019/10/10 1:24:00,3,Signal
2019/10/10 1:25:00,3,Signal
2019/10/10 1:26:00,3,Signal
2019/10/10 1:27:00,3,Signal
2019/10/10 1:28:00,3,Signal
2019/10/10 1:29:00,3,Signal
