Time,Code,Name
2019/10/09,3,Signal
2019/10/09 0:01:00,3,Signal
2019/10/09 0:02:00,3,Signal
2019/10/09 0:03:00,3,Signal
2019/10/09 0:04:00,3,Signal
2019/10/09 0:05:00,3,Signal
2019/10/09 0:06:00,0,Signal
2019/10/09 0:07:00,0,Signal
2019/10/09 0:08:00,0,Signal
2019/10/09 0:09:00,0,Signal
2019/10/09 0:10:00,3,Signal
2019/10/09 0:11:00,3,Signal
2019/10/09 0:12:00,3,Signal
2019/10/09 0:13:00,3,Signal
2019/10/09 0:14:00,3,Signal
2019/10/09 0:15:00,3,Signal
2019/10/09 0:16:00,3,Signal
2019/10/09 0:17:00,3,Signal
2019/10/09 0:18:00,3,Signal
2019/10/09 0:19:00,3,Signal
2019/10/09 0:20:00,3,Signal
2019/10/09 0:21:00,3,Signal
2019/10/09 0:22:00,3,Signal
2019/10/09 0:23:00,3,Signal
2019/10/09 0:24:00,3,Signal
2019/10/09 0:25:00,3,Signal
2019/10/09 0:26:00,0,Signal
2019/10/09 0:27:00,0,Signal
2019/10/09 0:28:00,0,Signal
2019/10/09 0:29:00,0,Signal
2019/10/09 0:30:00,3,Signal
2019/10/09 0:31:00,0,Signal
2019/10/09 0:32:00,0,Signal
2019/10/09 0:33:00,0,Signal
2019/10/09 0:34:00,0,Signal
2019/10/09 0:35:00,3,Signal
2019/10/09 0:36:00,3,Signal
2019/10/09 0:37:00,3,Signal
2019/10/09 0:38:00,3,Signal
2019/10/09 0:39:00,0,Signal
2019/10/09 0:40:00,3,Signal
2019/10/09 0:41:00,3,Signal
2019/10/09 0:42:00,3,Signal
2019/10/09 0:43:00,3,Signal
2019/10/09 0:44:00,3,Signal
2019/10/09 0:45:00,3,Signal
2019/10/09 0:46:00,3,Signal
2019/10/09 0:47:00,0,Signal
2019/10/09 0:48:00,0,Signal
2019/10/09 0:49:00,0,Signal
2019/10/09 0:50:00,3,Signal
2019/10/09 0:51:00,3,Signal
2019/10/09 0:52:00,3,Signal
2019/10/09 0:53:00,3,Signal
2019/10/09 0:54:00,3,Signal
2019/10/09 0:55:00,3,Signal
2019/10/09 0:56:00,3,Signal
2019/10/09 0:57:00,3,Signal
2019/10/09 0:58:00,3,Signal
2019/10/09 0:59:00,3,Signal
2019/10/09 1:00:00,3,Signal
2019/10/09 1:01:00,0,Signal
2019/10/09 1:02:00,0,Signal
2019/10/09 1:03:00,0,Signal
2019/10/09 1:04:00,0,Signal
2019/10/09 1:05:00,3,Signal
2019/10/09 1:06:00,3,Signal
2019/10/09 1:07:00,3,Signal
2019/10/09 1:08:00,3,Signal
2019/10/09 1:09:00,3,Signal
2019/10/09 1:10:00,3,Signal
2019/10/09 1:11:00,3,Signal
2019/10/09 1:12:00,3,Signal
2019/10/09 1:13:00,0,Signal
2019/10/09 1:14:00,0,Signal
2019/10/09 1:15:00,3,Signal
2019/10/09 1:16:00,3,Signal
2019/10/09 1:17:00,3,Signal
2019/10/09 1:18:00,3,Signal
2019/10/09 1:19:00,0,Signal
2019/10/09 1:20:00,3,Signal
2019/10/09 1:21:00,3,Signal
2019/10/09 1:22:00,3,Signal
2019/10/09 1:23:00,3,Signal
2019/10/09 1:24:00,3,Signal
2019/10/09 1:25:00,3,Signal
2019/10/09 1:26:00,3,Signal
2019/10/09 1:27:00,3,Signal
2019/10/09 1:28:00,3,Signal
2019/10/09 1:29:00,3,Signal
2019/10/09 1:30:00,3,Signal
2019/10/09 1:31:00,3,Signal
2019/10/09 1:32:00,3,Signal
2019/10/09 1:33:00,3,Signal
2019/10/09 1:34:00,3,Signal
2019/10/09 1:35:00,3,Signal
2019/10/09 1:36:00,3,Signal
2019/10/09 1:37:00,3,Signal
2019/10/09 1:38:00,3,Signal
2019/10/09 1:39:00,3,Signal
2019/10/09 1:40:00,3,Signal
2019/10/09 1:41:00,3,Signal
2019/10/09 1:42:00,3,Signal
2019/10/09 1:43:00,3,Signal
2019/10/09 1:44:00,3,Signal
2019/10/09 1:45:00,3,Signal
2019/10/09 1:46:00,3,Signal
2019/10/09 1:47:00,3,Signal
2019/10/09 1:48:00,3,Signal
2019/10/09 1:49:00,3,Signal
2019/10/09 1:50:00,3,Signal
2019/10/09 1:51:00,3,Signal
2019/10/09 1:52:00,3,Signal
2019/10/09 1:53:00,3,Signal
2019/10/09 1:54:00,3,Signal
2019/10/09 1:55:00,3,Signal
2019/10/09 1:56:00,3,Signal
2019/10/09 1:57:00,3,Signal
2019/10/09 1:58:00,0,Signal
2019/10/09 1:59:00,0,Signal
2019/10/09 2:00:00,3,Signal
2019/10/09 2:01:00,3,Signal
2019/10/09 2:02:00,3,Signal
2019/10/09 2:03:00,3,Signal
2019/10/09 2:04:00,3,Signal
2019/10/09 2:05:00,3,Signal
2019/10/09 2:06:00,3,Signal
2019/10/09 2:07:00,3,Signal
2019/10/09 2:08:00,3,Signal
2019/10/09 2:09:00,3,Signal
2019/10/09 2:10:00,3,Signal
2019/10/09 2:11:00,3,Signal
2019/10/09 2:12:00,3,Signal
2019/10/09 2:13:00,3,Signal
2019/10/09 2:14:00,3,Signal
2019/10/09 2:15:00,3,Signal
2019/10/09 2:16:00,3,Signal
2019/10/09 2:17:00,3,Signal
2019/10/09 2:18:00,3,Signal
2019/10/09 2:19:00,3,Signal
2019/10/09 2:20:00,3,Signal
2019/10/09 2:21:00,3,Signal
2019/10/09 2:22:00,3,Signal
2019/10/09 2:23:00,3,Signal
2019/10/09 2:24:00,3,Signal
2019/10/09 2:25:00,3,Signal
2019/10/09 2:26:00,3,Signal
2019/10/09 2:27:00,3,Signal
2019/10/09 2:28:00,3,Signal
2019/10/09 2:29:00,0,Signal
2019/10/09 2:30:00,3,Signal
2019/10/09 2:31:00,3,Signal
2019/10/09 2:32:00,3,Signal
2019/10/09 2:33:00,3,Signal
2019/10/09 2:34:00,3,Signal
2019/10/09 2:35:00,3,Signal
